param,true_param,perturbed_param,finite_diff,finite_diff_time,auto_diff,auto_diff_time
theta,3.141592653589793,3.1233933740386686,17119649.180329677,0.003368712030351162,-13492202.0,6.604800000786781e-05
theta,3.141592653589793,4.067783225858346,-5459985.397620423,0.004286682233214378,-1339572.375,6.515393033623695e-05
theta,3.141592653589793,2.860099658916493,10616638.980548888,0.0037852716632187366,-7170562.0,3.3773016184568405e-05
theta,3.141592653589793,3.1282882246408947,18125642.90066486,0.0033498629927635193,-15090756.0,3.3902935683727264e-05
theta,3.141592653589793,2.3597139980747306,6458584.032676305,0.0043577756732702255,2112417.5,6.61858357489109e-05
theta,3.141592653589793,3.3131418913801927,-11375310.669606531,0.003570942673832178,8307336.5,6.505707278847694e-05
theta,3.141592653589793,2.983916420477197,12311470.23035345,0.0035825162194669247,-9672453.0,8.008861914277077e-05
theta,3.141592653589793,2.6618521566673046,8752867.49177326,0.0038706199266016483,-5719603.5,3.3834949135780334e-05
theta,3.141592653589793,3.4859876153309726,-9418660.579703087,0.003930333070456982,6356556.0,6.62398524582386e-05
theta,3.141592653589793,2.2683322929353444,5753421.57547914,0.004672698676586151,-1420357.0,6.523123010993004e-05
theta,3.141592653589793,3.3620764137173618,-10700859.549179068,0.0036954828538000584,7419595.0,6.589805707335472e-05
theta,3.141592653589793,3.5569876090303842,-8871221.115555963,0.003835239913314581,6586611.5,3.360304981470108e-05
theta,3.141592653589793,2.3356420501890773,6254437.900698175,0.004789871163666248,-674640.4375,6.537418812513351e-05
theta,3.141592653589793,2.5118140986187347,7665641.298665458,0.004668263718485832,-3741384.25,3.362400457262993e-05
theta,3.141592653589793,3.4906686480893665,-9375712.027095579,0.004033235367387533,6216819.0,6.58002682030201e-05
theta,3.141592653589793,2.1649838733282016,5154298.324710617,0.004066959954798222,785100.75,3.3764634281396866e-05
theta,3.141592653589793,3.289108951681409,-11817952.643560026,0.003583078272640705,7950256.5,3.382982686161995e-05
theta,3.141592653589793,4.141549070042978,-4919267.8991427785,0.004149178974330425,-1517288.5,6.552506238222122e-05
theta,3.141592653589793,3.0790514068103665,14317292.324823862,0.0034632477909326553,-12124188.0,3.435323014855385e-05
theta,3.141592653589793,2.2010017888500424,5330805.016256817,0.00415327213704586,-3320823.0,6.491132080554962e-05
theta,3.141592653589793,2.163463057309697,5146147.830658817,0.004372333642095327,-189563.0,3.403518348932266e-05
theta,3.141592653589793,3.4707633111908764,-9550628.00223799,0.0038656522519886494,6416490.0,6.549898535013199e-05
theta,3.141592653589793,3.8616698105902896,-6736490.600821344,0.004684596788138151,1027373.4375,6.666826084256172e-05
theta,3.141592653589793,3.4318535795103835,-9887179.06448468,0.003776910249143839,7237661.5,6.526894867420197e-05
theta,3.141592653589793,4.160736912933345,-4804611.766300856,0.004113821778446436,-975508.5,3.2803043723106384e-05
theta,3.141592653589793,2.7125292923590227,9169786.692375919,0.0041053988970816135,-4915599.5,6.501004099845886e-05
theta,3.141592653589793,3.3270837382449323,-11153296.82203506,0.0035482882522046566,9007043.0,3.379210829734802e-05
theta,3.141592653589793,2.223026929426716,5411027.071066267,0.004213274922221899,-5671149.0,3.3424701541662216e-05
theta,3.141592653589793,2.782196506143061,9813863.545999099,0.0039148349314928055,-6694234.0,3.4193042665719986e-05
theta,3.141592653589793,3.896647893191113,-6471158.325554993,0.0046477592550218105,335856.0625,3.387918695807457e-05
theta,3.141592653589793,3.7503328713287156,-7638973.677921777,0.0045680818147957325,3983526.0,6.566289812326431e-05
theta,3.141592653589793,3.3490850807236607,-10862626.560080893,0.0033222432248294353,8162760.0,6.54817558825016e-05
theta,3.141592653589793,2.1574344488219523,5120550.207869052,0.004358085338026285,-2821262.75,6.546825170516968e-05
theta,3.141592653589793,3.1173981019909633,16392366.981051337,0.003407607786357403,-13335842.0,3.375206142663956e-05
theta,3.141592653589793,4.058695547085859,-5525191.378127234,0.004444394260644913,3243910.0,6.17271289229393e-05
theta,3.141592653589793,2.7079782449675465,9127475.174488341,0.004541254136711359,-4988544.5,6.591994315385818e-05
theta,3.141592653589793,3.0173585857098586,12926824.561134595,0.003578650299459696,-10396053.0,3.3989083021879196e-05
theta,3.141592653589793,4.052304541370524,-5576042.289702333,0.004579945933073759,993086.0625,6.56559132039547e-05
theta,3.141592653589793,4.026244427107665,-5734640.625685143,0.004642345942556858,9622262.0,3.39229591190815e-05
theta,3.141592653589793,4.141728860446177,-4918144.115050846,0.004338530357927084,-1071553.0,6.506824865937233e-05
theta,3.141592653589793,3.912411020686297,-6364815.90141685,0.004947065841406584,2288941.5,3.408500924706459e-05
theta,3.141592653589793,3.6887649399558873,-8048080.302542306,0.00436734315007925,3292566.75,3.371294587850571e-05
theta,3.141592653589793,3.5812479180463317,-8725020.624378767,0.0037657306529581547,6836103.0,6.606103852391243e-05
theta,3.141592653589793,3.8339830682182354,-6959364.82971938,0.0046649049036204815,781147.5,3.337301313877106e-05
theta,3.141592653589793,2.2412169938760926,5528092.020593593,0.00455475365743041,-11510428.0,3.3324118703603745e-05
theta,3.141592653589793,2.30429087392993,6016244.229226824,0.0048613958060741425,6301597.0,6.615277379751205e-05
theta,3.141592653589793,3.7054202754945083,-7945502.891231331,0.004450835753232241,4419646.5,4.903692752122879e-05
theta,3.141592653589793,3.3468461247335726,-10894324.89272554,0.003255467861890793,8055794.0,6.578490138053894e-05
theta,3.141592653589793,2.7539469783970256,9542230.15169863,0.004013165831565857,-6328755.0,6.894674152135849e-05
theta,3.141592653589793,3.0719314397720154,14115955.940306213,0.0034750448539853096,-11342755.0,6.554555147886276e-05
theta,3.141592653589793,3.6362114970417307,-8374014.263373843,0.004075203090906143,5066734.0,3.351876512169838e-05
theta,3.141592653589793,3.8414567454857926,-6896345.384608221,0.004551807884126902,-163243.4375,7.864413782954216e-05
theta,3.141592653589793,3.873823197846332,-6644840.942739122,0.0049118539318442345,356373.625,6.630131974816322e-05
theta,3.141592653589793,3.392871309956112,-10326218.26112168,0.003384383860975504,7177371.5,6.280699744820595e-05
theta,3.141592653589793,3.439259421183109,-9821222.31392029,0.003814161289483309,7944778.0,7.595028728246689e-05
theta,3.141592653589793,3.918806173029679,-6325565.468216557,0.004458906129002571,-241760.125,6.583891808986664e-05
theta,3.141592653589793,4.062360653935973,-5497571.590342901,0.004644795786589384,-2704366.25,6.52708113193512e-05
theta,3.141592653589793,3.5054758074508765,-9258197.897466058,0.0035817320458590984,6241818.5,3.392715007066727e-05
theta,3.141592653589793,3.122164770554072,16918684.251168422,0.0033700522035360336,-13742321.0,6.531970575451851e-05
theta,3.141592653589793,3.8590354365610255,-6757282.413410786,0.004476792179048061,1361770.25,3.320211544632912e-05
theta,3.141592653589793,2.2744468098881008,5812325.039216657,0.004682219121605158,-5243147.5,3.42661514878273e-05
theta,3.141592653589793,3.0145003707829634,12867472.862106139,0.00350777804851532,-10417142.0,3.393087536096573e-05
theta,3.141592653589793,2.7904430780280185,9890306.700339526,0.0037263836711645126,-6688296.5,3.3342279493808746e-05
theta,3.141592653589793,3.652816428736249,-8295625.5287326155,0.0042570349760353565,3921020.25,6.571924313902855e-05
theta,3.141592653589793,2.6427701061575375,8597737.857033113,0.0038556503131985664,-5628488.0,3.374135121703148e-05
theta,3.141592653589793,2.333885710769243,6246631.336832469,0.004777636844664812,-6241950.5,3.5020988434553146e-05
theta,3.141592653589793,2.8771898337994095,10812404.54344041,0.00377731304615736,-7353686.5,3.341119736433029e-05
